Usage Time,Quality of Learning,Response Accuracy and Reliability,Reducing Direct Teacher Interaction,Reliability Issues,Responses Without Delays,Topics Understanding Confidence ,Adaptation of User-specific Needs ,Maximizing efficiency,Providing Training
Occasionally,Agree,Agree,Agree,Rare,Rare,Neutral,Neutral,Rare,Neutral
Daily,Agree,Agree,Agree,Rare,Very Frequent,Strongly Agree,Agree,Frequent,Very Frequent
Rarely,Strongly Agree,Neutral,Disagree,Frequent,Very Frequent,Disagree,Agree,Neutral,Frequent
Daily,Neutral,Neutral,Agree,Neutral,Very Rare,Strongly disagree,Neutral,Rare,Very Frequent
Daily,Strongly Agree,Strongly agree,Strongly agree,Very Rare,Very Rare,Strongly Agree,Strongly Agree,Very Rare,Very Rare
Daily,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Frequent
Weekly,Disagree,Disagree,Disagree,Very Frequent,Frequent,Strongly disagree,Disagree,Neutral,Neutral
Daily,Agree,Agree,Agree,Very Rare,Very Rare,Agree,Agree,Neutral,Neutral
Rarely,Agree,Neutral,Strongly disagree,Rare,Frequent,Neutral,Neutral,Frequent,Very Frequent
Weekly,Agree,Agree,Disagree,Rare,Very Frequent,Agree,Agree,Very Frequent,Frequent
Weekly,Agree,Agree,Neutral,Neutral,Frequent,Agree,Agree,Very Rare,Neutral
Occasionally,Strongly Agree,Neutral,Disagree,Rare,Frequent,Agree,Agree,Very Frequent,Very Frequent
Daily,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Neutral
Daily,Agree,Agree,Disagree,Very Rare,Very Frequent,Agree,Neutral,Very Frequent,Very Frequent
Daily,Strongly Agree,Agree,Agree,Rare,Very Frequent,Agree,Agree,Frequent,Frequent
Daily,Strongly Agree,Agree,Agree,Rare,Frequent,Agree,Agree,Frequent,Frequent
Weekly,Agree,Agree,Neutral,Very Frequent,Frequent,Strongly Agree,Agree,Neutral,Very Frequent
Weekly,Agree,Agree,Disagree,Neutral,Frequent,Agree,Neutral,Neutral,Very Frequent
Daily,Agree,Neutral,Agree,Neutral,Frequent,Agree,Neutral,Neutral,Neutral
Occasionally,Agree,Neutral,Strongly disagree,Neutral,Frequent,Agree,Neutral,Frequent,Frequent
Occasionally,Disagree,Neutral,Strongly disagree,Neutral,Neutral,Agree,Agree,Frequent,Frequent
Daily,Agree,Agree,Disagree,Very Rare,Very Frequent,Neutral,Agree,Very Frequent,Very Frequent
Occasionally,Agree,Neutral,Agree,Frequent,Neutral,Neutral,Neutral,Frequent,Neutral
Daily,Strongly Agree,Strongly agree,Agree,Very Rare,Very Frequent,Agree,Agree,Very Frequent,Very Frequent
Weekly,Agree,Neutral,Agree,Neutral,Frequent,Agree,Agree,Frequent,Frequent
Daily,Agree,Neutral,Disagree,Very Frequent,Very Frequent,Agree,Strongly Agree,Very Rare,Very Frequent
Occasionally,Agree,Agree,Agree,Rare,Frequent,Strongly Agree,Agree,Very Frequent,Very Frequent
Weekly,Agree,Neutral,Disagree,Neutral,Frequent,Agree,Neutral,Frequent,Frequent
Weekly,Strongly Agree,Neutral,Disagree,Very Rare,Very Frequent,Agree,Agree,Neutral,Frequent
Occasionally,Agree,Agree,Disagree,Very Rare,Very Frequent,Agree,Neutral,Very Frequent,Very Frequent
Daily,Agree,Neutral,Agree,Neutral,Rare,Strongly Agree,Neutral,Very Rare,Very Frequent
Occasionally,Agree,Agree,Disagree,Rare,Rare,Agree,Agree,Neutral,Rare
Weekly,Agree,Neutral,Disagree,Rare,Frequent,Agree,Agree,Neutral,Rare
Daily,Strongly Agree,Neutral,Strongly agree,Neutral,Frequent,Agree,Agree,Neutral,Very Frequent
Daily,Neutral,Strongly agree,Agree,Rare,Rare,Strongly Agree,Strongly Agree,Frequent,Neutral
